metric,correlation
total_epa,0.5116038027296015
avg_epa,0.510560173633498
pass_epa,0.5073335252052276
avg_pass_yards,0.4441791014053392
avg_yards,0.3991979843351789
success_rate,0.35215281932736126
total_yards,0.3387269261901733
rush_epa,0.22393084215107284
avg_rush_yards,0.16623244313343358
