Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.7807017543859649,0.7857142857142857,0.7719298245614035,0.7787610619469026
Logistic Regression,0.7719298245614035,0.7818181818181819,0.7543859649122807,0.7678571428571429
